,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,MT2A,GPX2,EIF2AK2,GNA11,ALG12,RHOB,JPT1,ZNF12,IGLV1-40,MAT1A,MYO15B,INHBC,CLOCK,ADAP1,CNP,AVP,VDR,ABHD11,RO60,F12
1,DAB2,PCK1,DNASE1L3,FMO2,DIO3,PDP1,SUPT4H1,MT1G,NDUFA13,IFIT2,GPX2,EPHA7,IGLV1-40,EGLN3,HSP90B1,RAP2A,GLYR1,GATM,MT1F,IL6ST
2,NDUFB1,MEST,TYMP,RPL13,ZNHIT1,RPS16,ELF3,RPS4Y1,RPL37A,CYBA,MRPS16,REC8,ABTB2,PDXK,NINJ1,THOC6,TIMM13,ALDH18A1,LIF,ALPP
3,FKBP4,DNAJB1,VDR,SNCG,CTSB,ALDOA,MEST,TPI1,WDR12,USP5,NR1H3,BCR,APEX1,EXOSC5,MLEC,METTL1,ADIRF,MTHFD1,DEPTOR,PDE8A
4,ADTRP,HLA-DRA,HLA-J,SERPINA3,GPX2,KLF6,BTG1,IFI30,AGT,LST1,ABCA1,PLS1,CD163,MS4A6A,C1orf116,IFIT2,CD52,HSP90B1,POU2AF1,FMO2
5,IFI6,RPL37A,ATP6V1F,ALDH2,HSD17B12,NME7,PDIA5,NOL7,ATP6V1B2,RPS24,ATP5F1B,ATP5F1A,XPC,ALG5,IFI27,HERC5,ADK,AMFR,SERPINA1,ISCU
6,ACTG1,MT2A,JUNB,PPIC,IER3,CDKN1A,GTF3C1,DRC3,MT1F,JUN,F12,TBC1D8,LPCAT1,LUC7L,TUBB2A,BDKRB2,SERPING1,KRT10,FADD,SPTBN1
7,MT2A,MT1F,CFB,DAB2,MT1G,MISP,SPA17,ELF3,FGFR2,GPX2,AHCYL1,ALDH1A1,GATC,CCNI,MYO15B,SOX4,AGT,VWA8,CLDN3,JPT1
8,GPX2,IGLV1-40,FKBP4,IFIT2,TESC,HSP90B1,CLDN4,PDP1,AGPAT2,ABHD11,SNCG,MYO15B,HLA-J,PCK1,SERPING1,L1CAM,FOLR3,ABCC5,SCNN1B,UMOD
