,0
406,FAM135A
407,CPTP
408,CTC-338M12.4
409,PUM2
410,SARAF
411,SPAG8
412,DNAJC24
413,KIF25
414,EVPL
415,ATP10B
416,CHRNA2
417,RRM2
418,FSCN3
419,DAP
420,OSBPL2
421,TECTA
422,CD33
423,UFC1
424,COL15A1
425,CACFD1
426,DYRK3
427,CKAP2
428,HNRNPA0
429,GTF2H4
430,HADHB
431,THUMPD1
432,CENPJ
433,VARS
434,MGP
435,FKBP3
436,TGFB3
437,WDR37
438,ZNF467
439,SF3B2
440,SP4
441,EGFL6
442,CELSR2
443,NOC2L
444,WDR13
445,HAP1
446,DSCAM
447,PDPK1
448,SALL2
449,CLK3
450,RBM48
451,TRAK1
452,VPS13B
453,EIF4G3
454,ABHD18
455,CDC42
456,PMPCA
457,TMEM242
458,LTK
459,NAT10
460,PLIN3
461,SLC25A36
462,LY6G5C
463,RSRC2
464,CD2
465,PKD1
466,CHST3
467,TMEM268
468,FLNA
469,ZNF473
470,PYGB
471,NR4A1
472,RSPH6A
473,SETD2
474,DSG3
475,LDB3
476,CDKN2A-DT
477,SPRY4
478,ACADS
479,DBN1
480,TREML2
481,A1CF
482,A2M
483,A4GALT
484,A4GNT
485,AAAS
486,AACS
487,AADAC
488,AAGAB
489,AAK1
490,AAMDC
491,AAMP
492,AANAT
493,AAR2
494,AARS
495,AASDHPPT
496,AASS
497,AATF
498,AATK
499,ABAT
500,ABCA1
501,ABCA2
502,ABCA3
503,ABCA4
504,ABCA5
505,ABCA7
506,ABCA8
507,ABCB1
508,ABCB4
509,ABCB6
510,ABCB7
511,ABCB8
512,ABCB9
513,ABCC1
514,ABCC10
515,ABCC2
516,ABCC3
517,ABCC4
518,ABCC5
519,ABCC6
520,ABCC8
521,ABCD1
522,ABCD3
523,ABCD4
524,ABCE1
525,ABCF1
526,ABCF2
527,ABCF3
528,ABCG1
529,ABCG2
530,ABCG4
531,ABHD10
532,ABHD11
533,ABHD14A
534,ABHD17B
535,ABHD2
536,ABHD3
537,ABHD4
538,ABHD5
539,ABHD6
540,ABHD8
541,ABI1
542,ABI2
543,ABL1
544,ABL2
545,ABLIM1
546,ABLIM3
547,ABO
548,ABR
549,ABRAXAS2
550,ABT1
551,ABTB2
552,ACAA1
553,ACAA2
554,ACACA
555,ACACB
556,ACAD10
557,ACAD8
558,ACADL
559,ACADM
560,ACADSB
561,ACADVL
562,ACAN
563,ACAP1
564,ACAP2
565,ACAT1
566,ACBD3
567,ACBD4
568,ACD
569,ACE
570,ACE2
571,ACIN1
572,ACKR1
573,ACKR2
574,ACKR3
575,ACLY
576,ACO1
577,ACO2
578,ACOT11
579,ACOT13
580,ACOT7
581,ACOT8
582,ACOT9
583,ACOX1
584,ACOX2
585,ACOX3
586,ACP1
587,ACP2
588,ACP5
589,ACP6
590,ACPP
591,ACRV1
592,ACSBG1
593,ACSBG2
594,ACSF2
595,ACSL1
596,ACSL3
597,ACSL5
598,ACSM3
599,ACSM5
600,ACSS3
601,ACTA2
602,ACTB
603,ACTC1
604,ACTG1
605,ACTG2
606,ACTL6A
607,ACTL7A
608,ACTL7B
609,ACTL8
610,ACTN1
611,ACTN2
612,ACTN3
613,ACTN4
614,ACTR10
615,ACTR1A
616,ACTR1B
617,ACTR2
618,ACTR3
619,ACTR3B
620,ACTR5
621,ACTR6
622,ACTR8
623,ACVR1
624,ACVR1B
625,ACVR2A
626,ACVR2B
627,ACVR2B-AS1
628,ACVRL1
629,ACYP1
630,ADA
631,ADA2
632,ADAM10
633,ADAM11
634,ADAM15
635,ADAM17
636,ADAM19
637,ADAM20
638,ADAM21
639,ADAM22
640,ADAM28
641,ADAM30
642,ADAM5
643,ADAM8
644,ADAM9
645,ADAMTS1
646,ADAMTS12
647,ADAMTS13
648,ADAMTS5
649,ADAMTS6
650,ADAMTSL2
651,ADAMTSL3
652,ADAP1
653,ADAP2
654,ADAR
655,ADARB1
656,ADAT1
657,ADCY1
658,ADCY2
659,ADCY3
660,ADCY6
661,ADCY9
662,ADCYAP1R1
663,ADD1
664,ADD2
665,ADD3
666,ADGRA2
667,ADGRA3
668,ADGRB1
669,ADGRB2
670,ADGRE1
671,ADGRE3
672,ADGRE5
673,ADGRF1
674,ADGRF5
675,ADGRG1
676,ADGRG2
677,ADGRG3
678,ADGRG6
679,ADGRL1
680,ADGRL2
681,ADGRL4
682,ADH1B
683,ADH6
684,ADI1
685,ADIPOR1
686,ADIPOR2
687,ADIRF
688,ADK
689,ADM
690,ADM2
691,ADNP
692,ADNP2
693,ADO
694,ADORA1
695,ADORA2B
696,ADORA3
697,ADPGK
698,ADPRH
699,ADPRM
700,ADRA2B
701,ADRA2C
702,ADRB2
703,ADRB3
704,ADRM1
705,ADSL
706,ADSS
707,ADTRP
708,AEBP1
709,AEN
710,AFDN-DT
711,AFF1
712,AFF2
713,AFF4
714,AFG3L2
715,AFM
716,AFP
717,AFTPH
718,AGA
719,AGAP1
720,AGAP2
721,AGBL5
722,AGER
723,AGFG1
724,AGFG2
725,AGGF1
726,AGL
727,AGMAT
728,AGO1
729,AGO3
730,AGO4
731,AGPAT1
732,AGPAT2
733,AGPAT3
734,AGPAT4
735,AGPAT5
736,AGPS
737,AGR2
738,AGRN
739,AGRP
740,AGT
741,AGTPBP1
742,AGTR1
743,AGXT
744,AHCTF1
745,AHCY
746,AHCYL1
747,AHCYL2
748,AHDC1
749,AHI1
750,AHNAK
751,AHR
752,AHSA1
753,AHSG
754,AHSP
755,AIF1
756,AIFM1
757,AIM2
758,AIMP1
759,AIMP2
760,AIP
761,AIPL1
762,AIRE
763,AJAP1
764,AK1
765,AK2
766,AK5
767,AKAP1
768,AKAP10
769,AKAP11
770,AKAP12
771,AKAP13
772,AKAP17A
773,AKAP3
774,AKAP6
775,AKAP7
776,AKAP8
777,AKAP8L
778,AKAP9
779,AKIP1
780,AKIRIN1
781,AKR1A1
782,AKR1B1
783,AKR1B10
784,AKR1C1
785,AKR1C2
786,AKR1C3
787,AKR7A2
788,AKR7A3
789,AKT1
790,AKT2
791,AKT3
792,AKTIP
793,ALAD
794,ALAS1
795,ALAS2
796,ALB
797,ALCAM
798,ALDH18A1
799,label
800,SSTR1
801,FARSA
802,RHOD
803,LMF2
804,NOVA2
805,ZSCAN2
806,ATF7
807,THSD4
808,AP2M1
809,CFP
810,RPS16
811,RPL37A
812,NSDHL
813,NAT1
814,OFD1
815,IFNGR1
816,PLAAT3
817,MOAP1
818,CX3CL1
819,APLNR
820,LYVE1
821,MTDH
822,TTI1
823,NRAS
824,CHP1
825,PCF11
826,RPARP-AS1
827,RHOBTB1
828,ZNF146
829,TMEM50B
830,LTA4H
831,NF1
832,HLA-DMA
833,LYPD1
834,FURIN
835,TMX4
836,CD5
837,RBM19
838,TP53TG1
839,NONO
840,TNS1
841,MMP26
842,NFKBIB
843,BAX
844,UBB
845,HMOX2
846,SEMA3F
847,SPOCK1
848,NOL12
849,GPX7
850,TNS4
851,F2RL1
852,CORO1B
853,PSMB3
854,CD47
855,PLEKHO1
856,FHL1
857,IKZF5
858,LRRFIP1
859,GADD45A
860,ATF7IP2
861,B4GALT4
862,BTN3A1
863,ASPA
864,PIP5K1C
865,INTS6
866,CFAP74
867,DTYMK
868,C12orf29
869,H2AFY
870,NKAPD1
871,MMP25
872,GCNT2
873,IL12RB1
874,B4GALT5
875,TAB2
876,THBD
877,MCPH1
878,PF4
879,VBP1
880,RHOB
881,MMP13
882,FZD4
883,L1CAM
884,RPL5
885,KCNG2
886,SNX27
887,SLC4A1
888,AVPR1A
889,TMPRSS2
890,TLR2
891,TMEM53
892,WDR45B
893,FKBP6
894,PEPD
895,UBTF
896,MERTK
897,C1GALT1C1
898,PRDM11
899,DEPDC5
900,SGK2
901,BTN3A3
902,COPE
903,HADHA
904,SIRT6
905,TCEAL1
906,ITPKB
907,SOD1
908,RGS14
909,UBE4B
910,GUF1
911,MOK
912,SLC35E3
913,CARTPT
914,MAP4K3
915,GDF15
916,PPFIBP2
917,DUSP6
918,CDH13
919,C21orf91
920,SFN
921,ATOX1
922,ELL
923,CRIM1
924,SERPINA6
925,ENC1
926,F12
927,HAO2
928,PERP
929,CRYAB
930,SOX13
931,PLEKHM2
932,CDC45
933,LLGL2
934,RBKS
935,GCC2
936,TNNC2
937,KLF12
938,SH3BP2
939,SLC39A1
940,RELN
941,PRELID3A
942,CPLANE2
943,HBEGF
944,C19orf24
945,ZC3H3
946,PPP1R37
947,MCOLN3
948,HSPB11
949,RPL13A
950,TCN1
951,RBM34
952,CHODL
953,PPP6R1
954,AURKC
955,RETN
956,GNA14
957,ZNRF4
958,NHLH1
959,PWWP2A
960,GNG5
961,SLC35A3
962,TGFBR2
963,CCDC90B
964,THEMIS2
965,RPL38
966,SYNM
967,CDKN2B-AS1
968,PTPN3
969,SPEN
970,SPRR1A
971,RAD50
972,MT3
973,CSTF1
974,KLK13
975,OSGIN1
976,KLF9
977,RHCG
978,C6orf120
979,RPA1
980,SPCS3
981,SCAND2P
982,CACNA1C
983,CDKN1B
984,BLMH
985,TOPORS
986,FBXL12
987,ATP9B
988,NDUFA13
989,PSMB1
990,KLF6
991,ATP6V0E2
992,TCF7L1
993,MOGS
994,SNRPB
995,PYY
996,EFCC1
997,TGS1
998,TNNT2
999,CASP8AP2
1000,NXPH3
1001,RAF1
1002,GADD45B
1003,YRDC
1004,INPP5F
1005,ETV4
1006,ZXDC
1007,CREB1
1008,DNAJC22
1009,NUPR1
1010,USP46
1011,IFI27
1012,SLC39A14
1013,ZFYVE21
1014,CAMLG
1015,NCOR2
1016,CWC25
1017,NEMF
1018,RAB35
1019,CSF2RB
1020,GAST
1021,TMED9
1022,SLC25A4
1023,IRX5
1024,LSG1
1025,PARP3
1026,FNTA
1027,SLC4A3
1028,PRSS50
1029,EHD1
1030,CRTC3
1031,NAP1L4
1032,DNAJB1
1033,BRMS1
1034,PTGER3
1035,ST7L
1036,CCNA2
1037,LNPEP
1038,MT1G
1039,KCNJ9
1040,GIPC2
1041,SPECC1L
1042,WDYHV1
1043,MIA2
1044,TMEM147
1045,C4BPA
1046,KLF11
1047,PIK3C2A
1048,HAUS5
1049,SNIP1
1050,OSBPL11
1051,CCT8L2
1052,SLC24A3
1053,NIT1
1054,NPIPB15
1055,GUCY1B1
1056,KMT2D
1057,HECTD3
1058,TTC38
1059,POLR3E
1060,LACTB2
1061,CTSB
1062,PSMB8
1063,PHKB
1064,C5orf15
1065,PEBP1
1066,FRMD8
1067,SYN2
1068,CDK10
1069,CTSE
1070,CD52
1071,SNAI2
1072,NME7
1073,SEMA3B
1074,RHOT2
1075,AP4M1
1076,NAP1L3
1077,TBX5
1078,RAP2B
1079,NEDD9
1080,DPP8
1081,TAPBPL
1082,SEMA4C
1083,GPATCH1
1084,THBS4
1085,XYLT2
1086,PVALB
1087,WDR55
1088,SAMHD1
1089,SELENOT
1090,PCK1
1091,CLEC1B
1092,ANXA2P3
1093,SNRNP35
1094,DUSP14
1095,CAPN15
1096,DUOX1
1097,LRRC41
1098,EMC2
1099,PTCD2
1100,TRAPPC13
1101,MYOC
1102,GPD1
1103,FGFR3
1104,TRIM66
1105,PXN
1106,EMCN
1107,SPI1
1108,ENTR1
1109,TRHDE
1110,TTF1
1111,REC8
1112,MAP3K1
1113,ZBTB7B
1114,BCL2
1115,CTXND1
1116,LSM5
1117,NR0B2
1118,HMBS
1119,TDRKH
1120,NDUFA8
1121,FGF16
1122,COQ2
1123,C1orf35
1124,HABP4
1125,IGHV3-23
1126,OR1G1
1127,PID1
1128,TEX13B
1129,SS18L1
1130,CEP104
1131,CHIC2
1132,OR1D2
1133,SUCLG1
1134,CNR2
1135,CD93
1136,BACH1
1137,MMP15
1138,GABBR2
1139,SMCP
1140,TNKS
1141,SNAPC4
1142,LYRM4
1143,NLRP1
1144,SEMA6B
1145,P2RX7
1146,WASHC4
1147,KNOP1
1148,WASF2
1149,ATP5F1C
1150,S100A3
1151,LHPP
1152,RHOC
1153,LGMN
1154,IFT20
1155,TRPV6
1156,RGN
1157,HIST1H2AM
1158,CHST2
1159,MYO1D
1160,HAS1
1161,ZNF7
1162,NSMCE4A
1163,PON2
1164,ARR3
1165,CHMP6
1166,KLHDC2
1167,CYP11B2
1168,NFE2L1
1169,G6PD
1170,DTX4
1171,UNC13B
1172,ZNF195
1173,CLIC4
1174,RENBP
1175,AQP8
1176,PES1
1177,SCN2A
1178,LAMB2
1179,ATAD3A
1180,CREB3
1181,EHHADH
1182,RNASEH1
1183,ATP2B4
1184,HHIPL2
1185,CFLAR
1186,EBP
1187,ATXN3
1188,RIMS1
1189,DIRAS3
1190,LMNB2
1191,ZNF337
1192,TTLL1
1193,KDM5A
1194,ALDH1A1
1195,ALDH1A2
1196,ALDH1A3
1197,ALDH1B1
1198,ALDH1L1
1199,ALDH2
1200,ALDH3A1
1201,ALDH3A2
1202,ALDH3B1
1203,ALDH4A1
1204,ALDH5A1
1205,ALDH6A1
1206,THOC5
1207,CALM3
1208,CRKL
1209,PSMA6
1210,GPX2
1211,PSMB9
1212,TIMM8A
1213,DIO3
1214,COL19A1
1215,POLD2
1216,DDX23
1217,PTPN7
1218,DENND2A
1219,CCNB1IP1
1220,SCMH1
1221,TCEA2
1222,RALY
1223,EEF1A2
1224,TMBIM6
1225,CYP3A5
1226,BCAS4
1227,CHN1
1228,PIM1
1229,PALLD
1230,TYMP
1231,MYT1
1232,PPARG
1233,FBXO2
