,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,KLF6,TIPARP,IFI6,ABCB7,LYPLA1,CEBPB,RHOB,GDF15,PAX2,GPX3,AHCYL1,PTP4A1,CYP39A1,ACP6,NR0B2,TMEM100,ADPRM,CHCHD3,EEF1AKMT3,PCK1
1,LHPP,CHP1,AGL,RGS5,CYP2J2,NDUFA13,IFI6,MEST,RPS27L,CPVL,MS4A4A,ZNHIT1,MST1L,LGMN,UQCR10,UCHL1,TESC,BCR,MAP3K1,CTSG
2,MEST,ACTA2,TRA2A,VDR,CFLAR,VTCN1,ACVR1B,ISCU,MRPS15,ACP6,METTL9,DAB2,NEAT1,EPM2AIP1,TFAP2A,CAMLG,TUBA4B,ADA2,CTTN,FBLN5
3,SLC3A2,TTC1,ELF3,ENPP2,FST,BCCIP,TRIM14,COX8A,KLF6,ALB,TYMP,ATP6V1F,L1CAM,TESC,RHOB,MUC16,HERC5,ISCU,KLF9,BHLHE40
4,WDR12,WASHC3,LYPLA1,ECH1,RPL38,ITGB3BP,GLB1L,NONO,EMX1,FKBP4,AFP,COX15,LARP1,ACE,ADA2,ABLIM3,PLIN3,ADORA3,TMEM100,MYO15B
5,ATP5IF1,DEPTOR,MRPS16,IFIT1,PAFAH1B3,LGMN,IFI6,LIPC,ACLY,EPM2AIP1,TRA2A,BHLHE40,RRM2,LHX1,COL4A3BP,FBLN5,PTMS,OLFML3,HERC5,RHBDL1
6,UCHL1,ADI1,ABHD2,PLIN3,RGN,NDUFB1,ABLIM1,CAMLG,SERPINF1,WASHC4,HKDC1,PTP4A1,WARS2,ZNHIT1,ACAD10,NDUFA13,SPI1,BDKRB2,ABCD3,RPA3
7,IFI6,UGDH,BCCIP,GPX2,CFB,KLF9,SERPINA3,CGREF1,ATP6V1F,CD163,SH3BP2,METTL9,MT2A,ANKRD2,PDK3,CPVL,LIPG,ABCC3,IGLV2-14,CASP5
8,IFI6,IFIT1,DEPTOR,TRIM14,IFI44L,ALB,HERC5,GPX3,LGMN,IFI27,MS4A4A,MAP3K1,ABLIM1,COX5B,NDUFA13,TFAM,OLFML3,TTC1,MRPS16,CPVL
