,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,ATP6V0E2,MVP,CLIC4,MFSD11,PPFIBP2,PAPSS1,HMBS,SEPHS1,SNRPA,CRYL1,NNAT,ABCB8,ADRA2B,APBB2,AGMAT,COX7B,AHCYL2,POLR3B,ELF4,NHLH1
1,RHOC,AGMAT,HIGD1A,MAB21L4,PSMB1,PCF11,CREB3L2,ATP6V1F,ASNS,AAGAB,ZBTB7B,COX7B,LASP1,SEPHS1,LINC01565,SMO,GATM,RGN,DAD1,ACSF2
2,LDHB,ACTB,PSMB5,ACVR2A,XPO6,EBP,ACSF2,SMO,FADS2,KIF1B,CACNA1F,AFTPH,CSF1,SETDB1,MED18,FBXO9,PIK3C2B,CD2AP,ASXL2,ACPP
3,GPX3,GATM,RPL5,SDC4,PIGH,VTI1B,HIGD1A,PSMC5,ATP6V0E2,SSR1,NDUFAF3,MYL6,RHCG,ALCAM,CRYL1,ABCB6,ZCCHC14,THRA,PCMT1,FSTL1
4,AFTPH,ACE2,GPX3,PLA2G2A,SNRPA,CCNC,MFSD11,GLB1L,SGF29,ADPGK,STX17,ACAD8,PSMD9,LAMB2,DAPK2,RAB3IL1,CHAF1A,SLC25A36,TNS1,ASXL2
5,GM2A,ACO1,IFT20,CLIC4,FSCN3,TADA3,SEPHS1,KIF1B,HP,TSPAN15,GLB1L,ACAA1,CHAF1A,PLCD1,MKRN2,SMIM8,RPL8,GYPC,ZPR1,CFHR2
6,PDGFC,ABHD3,FDX1,SLC25A36,METTL22,PPP6R3,ENTR1,SLCO4C1,ACAD8,TIMM13,HAO2,ADIPOR1,PSMB1,ABLIM3,MRPL13,KNOP1,RPS21,TSPYL5,PFKP,SCARB2
7,YARS,ADH5,RHCG,PSMB9,SEPHS1,UBE2Z,THRA,PFKP,DLG1,SDC4,ATP6V1F,ANGEL2,DNASE1L3,SLC39A1,C1orf56,NDUFAF3,PSMD9,ABCC4,RHOC,HNRNPD
8,SEPHS1,VTI1B,CLIC4,GPX3,ZBTB7B,ALCAM,UBR5,LINC01565,SOX21,FADS2,PSMB1,IFT20,GYPC,SLC39A14,PCMT1,GLB1L,ABCC4,CRYL1,DRC3,ABLIM3
