,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,RHOB,KLF6,LYPLA1,IFI6,CEBPB,TIPARP,GDF15,PTP4A1,PCK1,EEF1AKMT3,GPX3,CYP39A1,DUSP6,JUNB,NUDT4,IFI44L,ABCB7,ZNRF4,ALB,ADPRM,TRIM14,NR0B2,TMEM100,ADM2,MT2A,UQCR10,AHCYL1,PAX2,CHCHD3,ZNF195,ABLIM1,FOS,IFI27,PLEKHA5,DENND1C,FGFR2,BTG1,IFIT1,CACNA1D,AGL,ATP6V1F,INSR,TFAM,NDUFB1,RORA,CYP21A2,BCR,EGLN3,MRPL19,ABCA8
1,LHPP,CHP1,RPS27L,CTSG,RGS5,VAMP8,CHODL,AGL,LGMN,ZNHIT1,FCGBP,ATP6V0E2,CYP2J2,UCHL1,TESC,SLC3A2,NDUFA13,IFI6,MS4A4A,UQCR10,TUBB2B,TYR,LYPLA1,TMBIM6,CPVL,EGLN3,PAFAH1B2,HIRA,JPT1,TMEM100,IFI27,BTG1,NDUFB1,DZIP1,AADAC,AKR1C2,ACKR1,DUSP6,MEST,NDUFA2,CRABP2,BCR,MST1L,MAB21L4,TDP2,MAP3K1,ADPRM,APH1A,ARR3,LRRC23
2,GPX3,ISCU,MEST,ACTA2,TFAP2A,METTL9,TUBA4B,FOS,VDR,NEAT1,CAMLG,EPM2AIP1,TRA2A,VTCN1,NR1D2,COX15,NDUFA13,CFLAR,COX5B,ACP6,CTTN,ACVR1B,PDE3B,SLC27A2,TAF4B,AMDHD2,TTC3,ENPP2,ABLIM1,TTC1,PEG10,ABCC3,CASP8,NDUFB5,PDE8A,CYP2E1,GPER1,ERBB3,MRPS15,AADAC,WDR12,S100A14,AGPAT5,AVIL,CYP3A5,AHCYL1,HOXD9,SCN2A,MYO15B,REN
3,VAMP8,SLC3A2,TYMP,FST,TESC,ZNF593,KLF6,RHOB,BHLHE40,ATP6V1F,IFI6,CYP21A2,ELF3,PCK1,MNX1,UQCR10,EEF1AKMT3,ABCB4,EGLN3,TTC1,ABCA5,TRIM14,L1CAM,COX8A,SOX4,KLF9,WASHC4,MRPL44,GPX2,BCCIP,TFAM,DNASE1L3,CLDN4,RPS24,NUDT4,RAB11FIP1,ADPRM,MUC16,MT1G,BCR,UCHL1,TRAPPC2L,FBLN5,ESRRA,NDUFA13,SULT4A1,LYPLA1,PTP4A1,AKR1C2,YY2
4,WDR12,LYPLA1,WASHC3,ECH1,ITGB3BP,NONO,FKBP4,LARP1,EMX1,AFP,TMEM100,NUDT4,ACE,CPVL,MYO15B,PLIN3,FCGBP,RPL38,BTG1,PEG10,IGHV3-23,BCR,PPP6R1,ACTA2,RHBDL1,MST1L,VAMP8,JPT1,COX15,CRABP2,ACAD10,TRIL,MAB21L4,ADI1,FOS,TYR,SH3BP2,CYP27A1,ADORA3,ABLIM3,ACP6,UCHL1,LIPC,GLB1L,SERPINA1,ACTL8,ADA2,TYRP1,ZNF195,AUTS2
5,MRPS16,ATP5IF1,IFI6,IFIT1,LIPC,DEPTOR,RRM2,COL4A3BP,LGMN,PTMS,CHCHD3,PAFAH1B3,OLFML3,RHBDL1,ITGB3BP,EPM2AIP1,TYR,MRPL44,WASHC3,REN,WDR12,ADM2,INSR,OVOL2,MAP3K1,MRPL19,UBXN8,METTL1,LHX1,HP,OXCT1,SERPINA3,PSMB3,LSM8,BHLHE40,C1orf174,ACLY,TFAM,ADTRP,AIRE,AMFR,PEX6,ADH1B,MAB21L4,THUMPD1,ABCD3,CTXND1,TRA2A,TYRP1,HERC5
6,ADI1,UCHL1,NDUFB1,ABHD2,PLIN3,ABLIM1,WASHC4,ACAD10,OSBPL1A,SERPINF1,CAMLG,WARS2,OXCT1,NUDT4,BDKRB2,SPI1,NPIPB15,RPA3,RGN,OR7E12P,ABCD3,ZNHIT1,LLGL2,HKDC1,ABCB7,ATP6V0E2,COL4A3BP,PTP4A1,B4GALT5,PLEKHA5,IGF1,HMGCS2,RGS5,RPL38,CYP46A1,MUC1,WASHC3,PDK3,NUBPL,FOLR3,RHOBTB1,LRP5,CP,C1orf68,TTC1,F12,HP,NINL,MT1G,STK32B
7,GPX2,ADI1,ATP6V1F,BCCIP,UGDH,CFB,IFI6,KLF9,CGREF1,GPX3,PPP6R1,IGLV2-14,ABCC3,SH3BP2,ALB,ANKRD2,OLFML3,RHOBTB1,CP,MT2A,METTL1,PDK3,IFI44L,CD163,FRMD8,TTC1,PCK1,LHPP,SLC16A1,CASP5,ELF3,METTL9,UBXN8,SERPINA3,ALOX5AP,IZUMO4,FGFR2,CYP46A1,PHGDH,COX8A,COL1A1,LIPG,CPVL,LARP1,TYMP,PARP11,ESRRA,ADH1B,DENND1C,TUBB2B
8,IFI6,IFIT1,TRIM14,GPX3,IFI44L,DEPTOR,NDUFA13,ABLIM1,MRPS16,MAP3K1,TFAM,OLFML3,HERC5,MS4A4A,ALB,IFI27,COX5B,IFIT2,TFAP2A,TTC1,LGMN,ZNF195,SLC27A2,VAMP8,RAB11FIP1,MAB21L4,TMBIM6,EGLN3,ZNRF4,AMDHD2,CPVL,GEMIN6,ADH1B,FOS,EIF2AK2,MRPL19,DENND1C,ABHD2,CFB,RGS5,JUNB,ATP5IF1,GRHL2,TDP2,REN,ABHD14A,TYMP,TRIM2,ZNF593,CYP2J2
