,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,KLF6,TIPARP,IFI6,LYPLA1,ABCB7,CEBPB,RHOB,GDF15,PAX2,PTP4A1,GPX3,AHCYL1,CYP39A1,ACP6,NR0B2,TMEM100,ADPRM,CHCHD3,PCK1,EEF1AKMT3
1,LHPP,CHP1,AGL,CYP2J2,RGS5,NDUFA13,IFI6,MEST,RPS27L,CPVL,MS4A4A,ZNHIT1,MST1L,LGMN,UQCR10,UCHL1,BCR,TESC,MAP3K1,CTSG
2,MEST,ACTA2,TRA2A,VDR,CFLAR,ACVR1B,VTCN1,ISCU,MRPS15,ACP6,METTL9,DAB2,NEAT1,EPM2AIP1,TFAP2A,CAMLG,ADA2,TUBA4B,CTTN,FBLN5
3,SLC3A2,TTC1,ELF3,ENPP2,FST,BCCIP,TRIM14,COX8A,KLF6,ALB,TYMP,ATP6V1F,L1CAM,TESC,RHOB,MUC16,HERC5,ISCU,KLF9,BHLHE40
4,WDR12,WASHC3,LYPLA1,ECH1,RPL38,ITGB3BP,GLB1L,NONO,EMX1,FKBP4,AFP,COX15,LARP1,ACE,ADA2,ABLIM3,PLIN3,ADORA3,TMEM100,MYO15B
5,ATP5IF1,DEPTOR,MRPS16,IFIT1,PAFAH1B3,LGMN,IFI6,LIPC,ACLY,RRM2,EPM2AIP1,TRA2A,BHLHE40,COL4A3BP,LHX1,FBLN5,PTMS,OLFML3,HERC5,RHBDL1
6,UCHL1,ADI1,ABHD2,PLIN3,RGN,NDUFB1,ABLIM1,CAMLG,SERPINF1,WASHC4,HKDC1,PTP4A1,WARS2,ZNHIT1,ACAD10,NDUFA13,SPI1,BDKRB2,RPA3,ABCD3
7,IFI6,UGDH,BCCIP,GPX2,CFB,KLF9,SERPINA3,CGREF1,ATP6V1F,CD163,SH3BP2,MT2A,METTL9,ANKRD2,PDK3,LIPG,CPVL,ABCC3,IGLV2-14,CASP5
8,IFI6,IFIT1,DEPTOR,TRIM14,IFI44L,ALB,HERC5,GPX3,LGMN,MS4A4A,IFI27,MAP3K1,ABLIM1,COX5B,NDUFA13,TFAM,OLFML3,TTC1,MRPS16,CPVL
