,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,RHOB,KLF6,LYPLA1,IFI6,CEBPB,TIPARP,GDF15,PTP4A1,PCK1,EEF1AKMT3,GPX3,CYP39A1,DUSP6,JUNB,NUDT4,IFI44L,ABCB7,ZNRF4,ALB,ADPRM,TRIM14,NR0B2,TMEM100,ADM2,MT2A,UQCR10,AHCYL1,PAX2,CHCHD3,ZNF195
1,LHPP,CHP1,RPS27L,CTSG,RGS5,VAMP8,CHODL,AGL,LGMN,ZNHIT1,FCGBP,ATP6V0E2,CYP2J2,UCHL1,TESC,SLC3A2,NDUFA13,IFI6,MS4A4A,UQCR10,TUBB2B,TYR,LYPLA1,TMBIM6,CPVL,EGLN3,PAFAH1B2,HIRA,JPT1,TMEM100
2,GPX3,ISCU,MEST,ACTA2,TFAP2A,METTL9,TUBA4B,FOS,VDR,NEAT1,CAMLG,EPM2AIP1,TRA2A,VTCN1,NR1D2,COX15,NDUFA13,CFLAR,COX5B,ACP6,CTTN,ACVR1B,PDE3B,SLC27A2,TAF4B,AMDHD2,TTC3,ENPP2,ABLIM1,TTC1
3,VAMP8,SLC3A2,TYMP,FST,TESC,ZNF593,KLF6,RHOB,BHLHE40,ATP6V1F,IFI6,CYP21A2,ELF3,PCK1,MNX1,UQCR10,EEF1AKMT3,ABCB4,EGLN3,TTC1,ABCA5,TRIM14,L1CAM,COX8A,SOX4,KLF9,WASHC4,MRPL44,GPX2,BCCIP
4,WDR12,LYPLA1,WASHC3,ECH1,ITGB3BP,NONO,FKBP4,LARP1,EMX1,AFP,TMEM100,NUDT4,ACE,CPVL,MYO15B,PLIN3,FCGBP,RPL38,BTG1,PEG10,IGHV3-23,BCR,PPP6R1,ACTA2,RHBDL1,MST1L,VAMP8,JPT1,COX15,CRABP2
5,MRPS16,ATP5IF1,IFI6,IFIT1,LIPC,DEPTOR,RRM2,COL4A3BP,LGMN,PTMS,CHCHD3,PAFAH1B3,OLFML3,RHBDL1,ITGB3BP,EPM2AIP1,TYR,MRPL44,WASHC3,REN,WDR12,ADM2,INSR,OVOL2,MAP3K1,MRPL19,UBXN8,METTL1,LHX1,HP
6,ADI1,UCHL1,NDUFB1,ABHD2,PLIN3,ABLIM1,WASHC4,ACAD10,OSBPL1A,SERPINF1,CAMLG,WARS2,OXCT1,NUDT4,BDKRB2,SPI1,NPIPB15,RPA3,RGN,OR7E12P,ABCD3,ZNHIT1,LLGL2,HKDC1,ABCB7,ATP6V0E2,COL4A3BP,PTP4A1,B4GALT5,PLEKHA5
7,GPX2,ADI1,ATP6V1F,BCCIP,UGDH,CFB,IFI6,KLF9,CGREF1,GPX3,PPP6R1,IGLV2-14,ABCC3,SH3BP2,ALB,ANKRD2,OLFML3,RHOBTB1,CP,MT2A,METTL1,PDK3,IFI44L,CD163,FRMD8,TTC1,PCK1,LHPP,SLC16A1,CASP5
8,IFI6,IFIT1,TRIM14,GPX3,IFI44L,DEPTOR,NDUFA13,ABLIM1,MRPS16,MAP3K1,TFAM,OLFML3,HERC5,MS4A4A,ALB,IFI27,COX5B,IFIT2,TFAP2A,TTC1,LGMN,ZNF195,SLC27A2,VAMP8,RAB11FIP1,MAB21L4,TMBIM6,EGLN3,ZNRF4,AMDHD2
