KLF6,IFI44L,PTP4A1,PCK1,CEBPB,LYPLA1,EEF1AKMT3,GDF15,CYP39A1,NUDT4,ZNRF4,IFI6,DUSP6,ADPRM,ABCB7,RHOB
CHODL,RPS27L,CYP2J2,CHP1,VAMP8,RGS5,FCGBP,ATP6V0E2,UQCR10,ZNHIT1,IFI6,MS4A4A,TESC,AGL,LGMN,CTSG,LHPP,NDUFA13
VTCN1,COX15,FOS,METTL9,ACTA2,NEAT1,NR1D2,TRA2A,ISCU,EPM2AIP1,MEST,TFAP2A,CFLAR,VDR,ACP6,NDUFA13,TUBA4B
KLF6,BHLHE40,ELF3,VAMP8,SLC3A2,ABCB4,FST,TYMP,ATP6V1F,UQCR10,IFI6,MNX1,TESC,ZNF593,RHOB
ECH1,WDR12,RPL38,NONO,AFP,LYPLA1,ITGB3BP,FCGBP,NUDT4,FKBP4,CPVL,PEG10,WASHC3,LARP1,TMEM100
IFIT1,COL4A3BP,LIPC,CHCHD3,DEPTOR,ITGB3BP,MRPS16,PTMS,IFI6,RRM2,EPM2AIP1,ATP5IF1,MRPL44,PAFAH1B3,LGMN
SERPINF1,OSBPL1A,OXCT1,RPA3,RGN,CAMLG,NDUFB1,ADI1,UCHL1,SPI1,ACAD10,NUDT4,PLIN3,WASHC4,ABHD2,BDKRB2,ABLIM1
ANKRD2,CGREF1,PPP6R1,BCCIP,GPX2,ABCC3,UGDH,GPX3,ATP6V1F,ALB,CFB,IFI6,KLF9,SH3BP2,MT2A,OLFML3,IGLV2-14
IFIT1,IFI44L,MAP3K1,TFAM,TRIM14,COX5B,DEPTOR,GPX3,MRPS16,ALB,IFI6,MS4A4A,HERC5,OLFML3,NDUFA13,ABLIM1
