CEBPB,JUNB,DUSP6,EEF1AKMT3,ABCB7,GDF15,PCK1,TIPARP,RHOB,KLF6,ADPRM,PTP4A1
CHODL,ZNHIT1,RGS5,UQCR10,CYP2J2,AGL,CHP1,LHPP,NDUFA13,CTSG,UCHL1,RPS27L
VTCN1,ACTA2,CFLAR,ISCU,METTL9,TRA2A,ACP6,CAMLG,COX15,MEST,NEAT1,VDR,EPM2AIP1
VAMP8,ATP6V1F,MNX1,FST,BHLHE40,PCK1,ABCB4,RHOB,TESC,KLF6,SLC3A2
WASHC3,ITGB3BP,RPL38,NONO,LARP1,LYPLA1,TMEM100,AFP
COL4A3BP,WASHC3,ITGB3BP,IFIT1,ATP5IF1,DEPTOR,PTMS,PAFAH1B3,RRM2,MRPS16,LIPC,EPM2AIP1,REN
OR7E12P,ADI1,BDKRB2,SPI1,ACAD10,NUDT4,OXCT1,ABHD2,NDUFB1,WASHC4,WARS2,PLIN3,UCHL1,SERPINF1,RGN
ATP6V1F,CP,ADI1,UGDH,RHOBTB1,GPX2,CFB,ANKRD2,BCCIP,PPP6R1,CGREF1,SH3BP2,ABCC3
IFI6,MAP3K1,IFIT1,IFI27,DEPTOR,ALB,TTC1,GPX3,IFIT2,MRPS16,NDUFA13,IFI44L,ABLIM1,TRIM14,HERC5,TFAM,COX5B
