SNRPA,ADRA2B,ABCB8,ELF4,MFSD11,CLIC4,ATP6V0E2,PPFIBP2,CRYL1,AHCYL2,NNAT,SEPHS1
HIGD1A,PCF11,MAB21L4,RHOC,AAGAB,GATM,AGMAT,CREB3L2,PSMB1,RGN,ASNS
ACSF2,FADS2,ACVR2A,AFTPH,PSMB5,PIK3C2B,SMO,MED18,ASXL2,EBP,ACTB,KIF1B,XPO6,LDHB,SETDB1
HIGD1A,VTI1B,ZCCHC14,NDUFAF3,GATM,GPX3,PIGH,RPL5,ATP6V0E2,RHCG,ABCB6
RAB3IL1,AFTPH,SNRPA,ACAD8,GLB1L,STX17,CCNC,ASXL2,SGF29,GPX3,MFSD11,ACE2,CHAF1A,PLA2G2A
ZPR1,HP,GM2A,CHAF1A,TSPAN15,MKRN2,IFT20,CLIC4,FSCN3,SEPHS1
RPS21,ACAD8,PDGFC,ABHD3,SLC25A36,SLCO4C1,FDX1,ADIPOR1,KNOP1,PPP6R3,ENTR1,METTL22,PFKP,ABLIM3,MRPL13
ANGEL2,ADH5,THRA,SLC39A1,UBE2Z,DLG1,PSMB9,DNASE1L3,RHOC,NDUFAF3,YARS,SDC4,RHCG,ABCC4,SEPHS1,PFKP
GLB1L,VTI1B,LINC01565,SOX21,ALCAM,GPX3,PSMB1,ZBTB7B,IFT20,CLIC4,SEPHS1
