GPX3,IFI6,PTP4A1,GDF15,LYPLA1,RHOB,AHCYL1,PCK1,KLF6,CYP39A1,ABCB7,ADPRM
IFI6,LHPP,RGS5,CHP1,CTSG,ZNHIT1,MEST,AGL,LGMN,RPS27L,CYP2J2,NDUFA13,MST1L,CPVL
EPM2AIP1,ACVR1B,TFAP2A,ACTA2,ACP6,NEAT1,TRA2A,MRPS15,CAMLG,ISCU,MEST,METTL9,VTCN1,VDR,TUBA4B,CFLAR
TESC,FST,SLC3A2,BHLHE40,KLF9,ATP6V1F,BCCIP,TYMP
WASHC3,COX15,LYPLA1,ABLIM3,TMEM100,ITGB3BP,RPL38,LARP1,GLB1L,FKBP4,WDR12
IFI6,IFIT1,BHLHE40,DEPTOR,LIPC,RRM2,OLFML3,LGMN,PTMS,COL4A3BP,MRPS16,ATP5IF1
NDUFB1,SERPINF1,PTP4A1,PLIN3,UCHL1,SPI1,ABLIM1,BDKRB2,ADI1,CAMLG,ZNHIT1,ABHD2,ACAD10,RGN,WASHC4
IFI6,CGREF1,GPX2,CFB,CD163,IGLV2-14,KLF9,ABCC3,SH3BP2,UGDH,METTL9,SERPINA3,ATP6V1F,BCCIP,CPVL
TFAM,GPX3,ALB,IFI6,TRIM14,MS4A4A,IFIT1,ABLIM1,DEPTOR,LGMN,MAP3K1,MRPS16,NDUFA13,CPVL
