RHOB,EEF1AKMT3,DUSP6,ADPRM,ABCB7,KLF6,GDF15,PCK1,PTP4A1
CHP1,LHPP,ZNHIT1,RGS5,AGL,CYP2J2,RPS27L,CTSG
ISCU,TRA2A,VDR,COX15,ACTA2,VTCN1,ACP6,MEST,CFLAR,METTL9
RHOB,SLC3A2,TESC,KLF6,VAMP8,FST,ATP6V1F
WASHC3,NONO,ITGB3BP,TMEM100,LYPLA1,LARP1,RPL38
COL4A3BP,RRM2,MRPS16,PTMS,PAFAH1B3,LIPC,EPM2AIP1,ATP5IF1
NDUFB1,ACAD10,NUDT4,PLIN3,ADI1,SPI1,UCHL1,RGN,ABHD2
UGDH,CGREF1,ABCC3,BCCIP,SH3BP2,CFB,ATP6V1F,GPX2
IFI44L,MRPS16,NDUFA13,IFI6,GPX3,TRIM14,DEPTOR,IFIT1
