RHOB,PCK1,DUSP6,EEF1AKMT3,GDF15,ABCB7,PTP4A1,KLF6
LHPP,CTSG,CYP2J2,AGL,ZNHIT1,RPS27L,CHP1,RGS5
ISCU,ACTA2,CAMLG,CFLAR,METTL9,TRA2A,COX15,ACP6,MEST,VDR,VTCN1
TESC,SLC3A2,PCK1,ATP6V1F,FST,VAMP8,KLF6
RPL38,TMEM100,ITGB3BP,AFP,LYPLA1,WASHC3,NONO
EPM2AIP1,ATP5IF1,MRPS16,RRM2,COL4A3BP,PTMS,LIPC,ITGB3BP
ADI1,WARS2,UCHL1,ACAD10,RGN,BDKRB2,ABHD2,NDUFB1,NUDT4,SPI1
ABCC3,SH3BP2,ATP6V1F,GPX2,UGDH,CFB,CGREF1,BCCIP,PPP6R1,ANKRD2,RHOBTB1
IFIT1,IFI6,GPX3,NDUFA13,TRIM14,HERC5,IFI44L,DEPTOR
