ABCB7,AHCYL1,PCK1,PTP4A1,LYPLA1,RHOB,ADPRM,GPX3,IFI6,KLF6,CYP39A1,GDF15
CHP1,NDUFA13,MST1L,ZNHIT1,LGMN,CYP2J2,IFI6,AGL,LHPP,MEST,RPS27L,CTSG,CPVL,RGS5
ISCU,METTL9,EPM2AIP1,TUBA4B,NEAT1,ACTA2,VDR,CFLAR,CAMLG,VTCN1,ACVR1B,TRA2A,TFAP2A,ACP6,MRPS15,MEST
BCCIP,TYMP,SLC3A2,ATP6V1F,KLF9,FST,BHLHE40,TESC
LARP1,ITGB3BP,COX15,LYPLA1,WDR12,RPL38,FKBP4,ABLIM3,GLB1L,TMEM100,WASHC3
PTMS,LIPC,ATP5IF1,RRM2,OLFML3,MRPS16,LGMN,IFIT1,IFI6,BHLHE40,DEPTOR,COL4A3BP
ACAD10,PTP4A1,ADI1,CAMLG,PLIN3,ZNHIT1,NDUFB1,ABHD2,ABLIM1,WASHC4,BDKRB2,SPI1,SERPINF1,RGN,UCHL1
METTL9,BCCIP,ATP6V1F,IGLV2-14,SH3BP2,KLF9,CGREF1,GPX2,IFI6,SERPINA3,UGDH,CD163,ABCC3,CPVL,CFB
TFAM,NDUFA13,MS4A4A,TRIM14,LGMN,MAP3K1,IFIT1,GPX3,IFI6,ABLIM1,MRPS16,DEPTOR,ALB,CPVL
