PTP4A1,EEF1AKMT3,KLF6,NR0B2,ADPRM,RHOB,GDF15,PCK1
CTSG,UCHL1,LHPP,CHP1,ZNHIT1,RGS5,AGL,MEST,CYP2J2,RPS27L
TTC3,ACVR1B,COX15,CTTN,ACP6,VTCN1,MEST,METTL9,VDR,MRPS15,ISCU,CFLAR,TRA2A,ACTA2
VAMP8,KLF6,SLC3A2,ATP5IF1,ENPP2,TESC,FST,ATP6V1F,PCK1,GEMIN6
TMEM100,LARP1,WASHC3,ITGB3BP,LYPLA1,GLB1L
ADM2,OVOL2,LIPC,ATP5IF1,UBXN8,MRPS16,COL4A3BP,PTMS,EPM2AIP1,RRM2
ATP6V0E2,UCHL1,BDKRB2,NDUFB1,ADI1,PLIN3,WARS2,ACAD10,SPI1,NUDT4,ABHD2,RGN
GPX2,CGREF1,CFB,ANKRD2,SH3BP2,UGDH,ATP6V1F,ABCC3,BCCIP
NDUFA13,HERC5,GPX3,IFIT1,TRIM14,IFI6,DEPTOR,IFI44L
