RHOB,EEF1AKMT3,DUSP6,ADPRM,ABCB7,KLF6,GDF15,PCK1,PTP4A1
CHP1,LHPP,ZNHIT1,RGS5,AGL,MEST,CYP2J2,RPS27L,CTSG
ISCU,TRA2A,COX15,ACTA2,ACVR1B,ACP6,VTCN1,CTTN,VDR,MEST,CFLAR,METTL9
RHOB,SLC3A2,TESC,KLF6,VAMP8,FST,ATP6V1F,ATP5IF1,GEMIN6
WASHC3,NONO,TMEM100,ITGB3BP,LYPLA1,LARP1,AHCYL1,RPL38
ADM2,COL4A3BP,UBXN8,RRM2,MRPS16,PTMS,PAFAH1B3,LIPC,EPM2AIP1,OVOL2,ATP5IF1
NDUFB1,ACAD10,NUDT4,PLIN3,ADI1,SPI1,ABCD3,UCHL1,RGN,ABHD2
UGDH,CGREF1,ABCC3,BCCIP,SH3BP2,CFB,ATP6V1F,GPX2
IFIT1,IFI44L,MRPS16,NDUFA13,GPX3,TRIM14,DEPTOR,IFI6
