RHOB,EEF1AKMT3,NUDT4,DUSP6,IFI44L,ADPRM,ABCB7,KLF6,GDF15,ZNRF4,PCK1,LYPLA1,CYP39A1,IFI6,PTP4A1
MS4A4A,CHP1,LHPP,CHODL,LGMN,ZNHIT1,CTSG,VAMP8,RGS5,AGL,CYP2J2,RPS27L,IFI6
ISCU,TRA2A,VDR,NEAT1,ACTA2,COX15,ACP6,NDUFA13,METTL9,VTCN1,NR1D2,EPM2AIP1,MEST,CFLAR,FOS,TUBA4B,TFAP2A
RHOB,SLC3A2,ZNF593,TESC,ABCB4,KLF6,VAMP8,BHLHE40,UQCR10,FST,ATP6V1F,TYMP,IFI6
NUDT4,FCGBP,NONO,FKBP4,ITGB3BP,WASHC3,TMEM100,ECH1,PEG10,CPVL,LYPLA1,WDR12,LARP1,RPL38
COL4A3BP,IFIT1,RRM2,LGMN,MRPS16,PTMS,PAFAH1B3,LIPC,CHCHD3,EPM2AIP1,DEPTOR,ATP5IF1,IFI6
NDUFB1,ACAD10,NUDT4,PLIN3,ADI1,SPI1,ABLIM1,SERPINF1,UCHL1,OXCT1,WASHC4,RGN,ABHD2
UGDH,CGREF1,OLFML3,ABCC3,BCCIP,SH3BP2,CFB,ALB,ATP6V1F,IFI6,GPX2,KLF9
OLFML3,IFIT1,MS4A4A,IFI44L,MRPS16,MAP3K1,NDUFA13,TFAM,ALB,IFI6,GPX3,TRIM14,DEPTOR,ABLIM1
