PTP4A1,CYP39A1,EEF1AKMT3,GPX3,KLF6,ADPRM,RHOB,LYPLA1,GDF15,NUDT4,IFI6,ALB,PCK1,IFI44L
CTSG,UCHL1,LHPP,CHP1,ZNHIT1,MS4A4A,NDUFA13,RGS5,AGL,LGMN,CYP2J2,IFI6,RPS27L,CHODL
NEAT1,COX15,FOS,ACP6,VTCN1,TFAP2A,MEST,ISCU,METTL9,VDR,TUBA4B,CFLAR,EPM2AIP1,TRA2A,ACTA2
VAMP8,UQCR10,CYP21A2,ELF3,BHLHE40,KLF6,SLC3A2,TESC,FST,IFI6,ATP6V1F,PCK1
BTG1,EMX1,CPVL,TMEM100,LARP1,WASHC3,ITGB3BP,FCGBP,LYPLA1,WDR12,NUDT4,FKBP4
CHCHD3,LIPC,OLFML3,IFI6,DEPTOR,ATP5IF1,IFIT1,MRPS16,LGMN,COL4A3BP,PTMS,EPM2AIP1,RRM2
ABLIM1,UCHL1,BDKRB2,NDUFB1,PLIN3,ADI1,OXCT1,WARS2,ACAD10,SPI1,NUDT4,ABHD2,RGN,WASHC4,CAMLG,SERPINF1
GPX2,CGREF1,CFB,OLFML3,ANKRD2,SH3BP2,BCCIP,KLF9,UGDH,IFI6,ALB,IGLV2-14,ABCC3,ATP6V1F
MAP3K1,TFAM,ABLIM1,OLFML3,MS4A4A,NDUFA13,HERC5,GPX3,DEPTOR,IFIT1,TRIM14,IFI6,ALB,IFI44L
