,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,IFI6,KLF6,LYPLA1,NUDT4,RHOB,CHCHD3,AHCYL1,ATP6V1F,PCK1,EEF1AKMT3,PTP4A1,GDF15,TMEM100,MT2A,IFI44L,CYP39A1,NR0B2,GPX3,ADPRM,ALB,CYP21A2,CFB,ABCB7,HP,AIRE,ADM2,KLF9,ZNRF4,DNASE1L3,NPIPB15
1,LHPP,CHP1,AGL,CPVL,IFI6,MEST,RGS5,CYP2J2,ZNHIT1,UCHL1,NDUFA13,CTSG,TDP2,MAP3K1,RPS27L,LGMN,MS4A4A,CRABP2,BCR,CHODL,TESC,MST1L,ABLIM1,DUSP6,AADAC,ATP6V0E2,GPC5,BTG1,TYR,APH1A
2,TRA2A,ACTA2,METTL9,MEST,VDR,CTTN,COX15,VTCN1,EPM2AIP1,NEAT1,CFLAR,ACVR1B,MRPS15,FOS,TUBA4B,ACP6,ISCU,NONO,TFAP2A,TTC3,WDR12,NDUFA13,ABCC3,PSMC3,GPX3,SLC16A1,AVIL,CAMLG,CASP8,PEG10
3,KLF6,LYPLA1,PCK1,ATP6V1F,SLC3A2,TESC,VAMP8,BHLHE40,FST,IFI6,GEMIN6,ELF3,KLF9,UQCR10,MRPL44,ATP5IF1,CYP21A2,ESRRA,ENPP2,TRIM14,RPS24,L1CAM,MT1G,CLDN4,EGLN3,CHCHD3,TFAM,TYMP,DNASE1L3,CD163
4,WASHC3,LYPLA1,WDR12,BTG1,CPVL,FKBP4,FCGBP,ITGB3BP,NUDT4,TRIL,TMEM100,UCHL1,EMX1,CFB,RPL13A,LARP1,GLB1L,ACAD10,COX15,UGDH,ACE,TARS2,CHCHD3,NONO,TRAPPC2L,IGHV3-23,SERPINA1,PEG10,ZNF195,TYR
5,ATP5IF1,IFI6,DEPTOR,CHCHD3,LIPC,LGMN,MRPS16,OLFML3,BHLHE40,IFIT1,RRM2,PTMS,ADM2,MAP3K1,INSR,COL4A3BP,OVOL2,UBXN8,EPM2AIP1,AIRE,LSM8,LHX1,AUTS2,PSMB3,WASHC3,HP,METTL1,TYR,TYRP1,SERPINA3
6,ADI1,UCHL1,NDUFB1,NUDT4,PTP4A1,ABLIM1,WASHC4,ABHD2,ACAD10,SERPINF1,SPI1,OXCT1,BDKRB2,RGN,ATP6V0E2,NINL,WARS2,PLEKHA5,CAMLG,PLIN3,NPIPB15,ACADS,HKDC1,NUBPL,TTC1,COL4A3BP,SETD3,HP,PTPN3,HMGCS2
7,IFI6,CFB,BCCIP,ATP6V1F,GPX2,CGREF1,UGDH,CPVL,ANKRD2,ABCC3,KLF9,IGLV2-14,PDK3,SERPINA3,CD163,OLFML3,ALB,SH3BP2,LHPP,FGFR2,IFI44L,COL1A1,TYMP,MT2A,TTC1,PPP6R1,CYP46A1,MUC1,TDP2,RHOBTB1
8,IFI6,IFIT1,DEPTOR,TRIM14,GPX3,MS4A4A,CPVL,ABLIM1,NDUFA13,OLFML3,CFB,LGMN,MAP3K1,IFI44L,TDP2,ALB,VAMP8,TFAM,HERC5,ZNF195,ABCC3,TTC1,MRPS16,TYMP,MRPL19,GRHL2,AHCYL1,CD163,GEMIN6,EGLN3
