,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,IFI6,KLF6,LYPLA1,NUDT4,RHOB,CHCHD3,AHCYL1,ATP6V1F,PCK1,EEF1AKMT3,PTP4A1,GDF15,TMEM100,MT2A,IFI44L,CYP39A1,NR0B2,GPX3,ADPRM,ALB
1,LHPP,CHP1,AGL,CPVL,IFI6,MEST,RGS5,CYP2J2,ZNHIT1,UCHL1,NDUFA13,CTSG,TDP2,MAP3K1,RPS27L,LGMN,MS4A4A,CRABP2,BCR,CHODL
2,TRA2A,ACTA2,METTL9,MEST,VDR,CTTN,COX15,VTCN1,EPM2AIP1,NEAT1,CFLAR,ACVR1B,MRPS15,FOS,TUBA4B,ACP6,ISCU,NONO,TFAP2A,TTC3
3,KLF6,LYPLA1,PCK1,ATP6V1F,SLC3A2,TESC,VAMP8,BHLHE40,FST,IFI6,GEMIN6,ELF3,KLF9,UQCR10,MRPL44,ATP5IF1,CYP21A2,ESRRA,ENPP2,TRIM14
4,WASHC3,LYPLA1,WDR12,BTG1,CPVL,FKBP4,FCGBP,ITGB3BP,NUDT4,TRIL,TMEM100,UCHL1,EMX1,CFB,RPL13A,LARP1,GLB1L,ACAD10,COX15,UGDH
5,ATP5IF1,IFI6,DEPTOR,CHCHD3,LIPC,LGMN,MRPS16,OLFML3,BHLHE40,IFIT1,RRM2,PTMS,ADM2,MAP3K1,INSR,COL4A3BP,OVOL2,UBXN8,EPM2AIP1,AIRE
6,ADI1,UCHL1,NDUFB1,NUDT4,PTP4A1,ABLIM1,WASHC4,ABHD2,ACAD10,SERPINF1,SPI1,OXCT1,BDKRB2,RGN,ATP6V0E2,NINL,WARS2,PLEKHA5,CAMLG,PLIN3
7,IFI6,CFB,BCCIP,ATP6V1F,GPX2,CGREF1,UGDH,CPVL,ANKRD2,ABCC3,KLF9,IGLV2-14,PDK3,SERPINA3,CD163,OLFML3,ALB,SH3BP2,LHPP,FGFR2
8,IFI6,IFIT1,DEPTOR,TRIM14,GPX3,MS4A4A,CPVL,ABLIM1,NDUFA13,OLFML3,CFB,LGMN,MAP3K1,IFI44L,TDP2,ALB,VAMP8,TFAM,HERC5,ZNF195
