,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,KLF6,IFI6,LYPLA1,PCK1,RHOB,GDF15,CHCHD3,CYP39A1,AHCYL1,TMEM100,DUSP6,NUDT4,EEF1AKMT3,IFI44L,ABCB7,PTP4A1,ADPRM,CFB,ZNRF4,FOS,MT2A,DENND1C,NR0B2,INSR,MRPL19,HP,CYP3A5,CEBPB,ZNF195,AIRE
1,LHPP,LGMN,CHP1,ZNHIT1,CTSG,IFI6,RGS5,CYP2J2,CPVL,RPS27L,TDP2,AGL,CRABP2,ACKR1,MST1L,VAMP8,MEST,CHODL,TYR,MS4A4A,DUSP6,UQCR10,NDUFA13,AADAC,TESC,TUBB2B,FCGBP,TMEM100,MAB21L4,ATP6V0E2
2,TRA2A,VDR,METTL9,MEST,TUBA4B,VTCN1,CFLAR,NDUFA13,ISCU,FOS,CTTN,ACTA2,COX15,NR1D2,ACVR1B,TFAP2A,EPM2AIP1,ACP6,ABCC3,NEAT1,NONO,UGDH,NDUFB5,PEG10,FBLN5,SLC16A1,COX8A,ECH1,AHCYL1,DAB2
3,SLC3A2,ATP6V1F,BHLHE40,TYMP,KLF6,IFI6,LYPLA1,RPS24,TESC,UQCR10,FST,TRIM14,ATP5IF1,GEMIN6,FBLN5,ABCB4,ZNF593,VAMP8,KLF9,RHOB,CLDN4,ENPP2,SERPINA1,ECH1,ELF3,CD163,MRPS16,COX8A,PTMS,MNX1
4,WDR12,LYPLA1,WASHC3,NONO,AHCYL1,ECH1,LARP1,FKBP4,CPVL,TMEM100,ITGB3BP,CFB,PTPN3,RPL38,NUDT4,PEG10,FCGBP,CHCHD3,ABLIM3,COX15,IFI6,ZNF195,CGA,UCHL1,AFP,PCK1,RHBDL1,LIPC,VAMP8,FOS
5,ATP5IF1,MRPS16,LIPC,LGMN,DEPTOR,CHCHD3,BHLHE40,UBXN8,RRM2,IFIT1,IFI6,PTMS,EPM2AIP1,PAFAH1B3,ADM2,COL4A3BP,OVOL2,CYP21A2,ABCD3,LSM8,SERPINA3,AUTS2,HP,MRPL44,ITGB3BP,PSMB3,TYRP1,COMMD10,LHX1,AGPAT5
6,ADI1,UCHL1,NDUFB1,ABCD3,NUDT4,ABHD2,PLIN3,COL4A3BP,PTP4A1,ABLIM1,SERPINF1,RGN,HKDC1,WASHC4,PTPN3,OXCT1,ACAD10,SPI1,WASHC3,ZNHIT1,NINL,ABCB7,BDKRB2,FKBP4,LLGL2,RPA3,DMAC2L,PLEKHA5,OSBPL1A,CAMLG
7,IFI6,CFB,GPX2,ATP6V1F,UGDH,CPVL,ABCC3,BCCIP,OLFML3,CD163,ALB,SH3BP2,CGREF1,SERPINA3,TYMP,PDK3,KLF9,IFI44L,TTC1,COX8A,FGFR2,IGLV2-14,ANKRD2,LHPP,AHCYL1,GPX3,PPP6R1,UBXN8,NR1D2,MT2A
8,IFI6,DEPTOR,IFIT1,CPVL,MAP3K1,IFI44L,MRPS16,MS4A4A,TRIM14,CFB,TYMP,LGMN,NDUFA13,ABLIM1,ALB,GPX3,VAMP8,AHCYL1,TFAM,OLFML3,MRPL19,COX5B,AUTS2,KLF6,FOS,ZNF195,TDP2,GEMIN6,WDR12,HERC5
