,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,RHOB,CEBPB,TIPARP,KLF6,DUSP6,PTP4A1,PCK1,NR0B2,JUNB,ABCB7,ADPRM,EEF1AKMT3,GDF15,DNAJB1,GADD45B,DEFB1,NPIPB15,CHGB,NDUFB1,STK32B
1,LHPP,CHP1,RPS27L,MEST,RPS24,RPS4Y1,RGS5,DNAJB1,LRRC23,GPC5,UCHL1,CYP2J2,AGL,CAMLG,TNMD,ACOX2,DZIP1,CTSG,ZNHIT1,AKR1C2
2,MEST,NDUFB5,TRA2A,ALDH3A2,ISCU,VDR,ACP6,MRPS15,CTTN,COX15,DAB2,CAMLG,CFLAR,PDE8A,TTC3,VTCN1,ACVR1B,METTL9,RHOBTB1,ACTA2
3,CHP1,RHOB,PCK1,ENPP2,ATP6V1F,FST,TESC,GEMIN6,ATP5IF1,KLF6,NDUFA2,HELZ,AMFR,MNX1,VAMP8,UMOD,SLC3A2,GCNT2,ECH1,LGMN
4,LYPLA1,WASHC3,RPL38,SERPINA1,ITGB3BP,LARP1,ACTL8,ACADVL,TRAPPC2L,ACTA2,NONO,AHCYL1,AFP,IFI30,TMEM100,SELENOT,GLB1L,CASP8,WARS2,ADA2
5,LIPC,ATP5IF1,ITGB3BP,PTMS,CDHR2,MRPS16,COMMD10,ADM2,ERBB3,RRM2,RPL37A,COL4A3BP,TRA2A,WASHC3,EPM2AIP1,PAFAH1B3,UBXN8,ACLY,OVOL2,C1orf56
6,ADI1,RGN,TSPAN6,BDKRB2,ABHD2,B4GALT5,ABCD3,MT1G,ATP6V0E2,NDUFB1,WARS2,AP5M1,UCHL1,LLGL2,ACAD10,NUDT4,PLIN3,PA2G4,THNSL2,SUCLG1
7,GPX2,BCCIP,CFB,ATP6V1F,NDUFB3,LDHB,ALOX5AP,UGDH,FRMD8,RHOBTB1,METTL9,PPP6R1,CGREF1,ELF3,MUC1,ANKRD2,HIRA,SLC16A1,SH3BP2,ABCC3
8,IFI6,IFIT1,DEPTOR,GPX3,IFI27,IFI44L,HERC5,COX5B,OAS1,TRIM14,NDUFA13,TTC1,IFIT2,MAB21L4,MRPS16,EGLN3,ANK2,EIF2AK2,MRPL19,REN
