,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,KLF6,LYPLA1,IFI6,RHOB,AHCYL1,PTP4A1,PCK1,GPX3,GDF15,ATP6V1F,NUDT4,CYP39A1,ABCB7,DUSP6,ADPRM,MT2A,DEPTOR,FOS,KLF9,ZNF195,ALB,CHCHD3,OSBPL1A,EEF1AKMT3,TMEM100,ADM2,DNASE1L3,CPVL,BCR,ACP6,AIRE,DENND1C,IFI44L,CYP21A2,UQCR10,VAMP8,TFAM,CFB,AUTS2,NR0B2,JUNB,TRIM14,ACE,OVOL2,ABLIM1,CACNA1D,HP,OLFML3,INSR,FST
1,LHPP,CHP1,RPS27L,AGL,NDUFA13,CYP2J2,CPVL,TDP2,RGS5,LGMN,CTSG,ZNHIT1,IFI6,MST1L,EGLN3,TUBB2B,GPC5,MEST,SLC3A2,ACKR1,BCR,HIRA,ATP6V0E2,MS4A4A,DUSP6,TRPV6,TMEM100,TESC,AADAC,CRABP2,LRRC23,UQCR10,IFIT1,PDK3,HERC5,MAB21L4,ADPRM,CHODL,TYR,MAP3K1,GATC,CAMLG,TNMD,VAMP8,BCCIP,TYMP,HKDC1,LCN1,DZIP1,DNAJB1
2,TRA2A,ACTA2,MEST,VDR,EPM2AIP1,CFLAR,MRPS15,VTCN1,METTL9,NDUFA13,TUBA4B,COX15,ISCU,NEAT1,TFAP2A,FOS,CAMLG,ACVR1B,NDUFB5,ACP6,ABCC3,NR1D2,GPX3,ATP6V1F,AHCYL1,PDE8A,TRPV6,FBLN5,RPS24,SPA17,SLC16A1,TTC3,NONO,TTC1,ENPP2,ACSBG2,ELF3,PDE3B,DEPTOR,AFF4,AGPAT5,UGDH,CTTN,CASP8,TRAPPC2L,ECH1,S100A14,AKR1C1,TAF4B,AFDN-DT
3,ATP6V1F,PCK1,SLC3A2,IFI6,FST,TYMP,LYPLA1,RPS24,CYP21A2,VAMP8,TESC,ABCB4,BHLHE40,WASHC4,PSPH,KLF9,EEF1AKMT3,BCCIP,UQCR10,WASHC3,GEMIN6,KLF6,RHOB,CLDN4,TRIM14,RPL38,GPX2,MNX1,ENPP2,EGLN3,PTMS,CD163,BCR,ZNF593,SERPINA1,ECH1,COL1A1,MRPL44,CHCHD3,YY2,AHCYL1,DNASE1L3,AKR1C2,ESRRA,LGALS4,CGA,MST1L,CASP5,ISCU,ADPRM
4,LYPLA1,WASHC3,CPVL,WDR12,RPL38,FKBP4,MST1L,ABLIM3,WARS2,ITGB3BP,PPP6R1,COX15,TMEM100,LARP1,IGHV3-23,TARS2,UCHL1,PEG10,GLB1L,NUDT4,NONO,L2HGDH,MAB21L4,ECH1,ZNF195,ACE,VAMP8,AFP,MYO15B,RHBDL1,PCK1,CYP27A1,MAP3K1,EMX1,ACAD10,CFB,IGLV1-40,LIPC,FOS,CRABP2,BCR,FST,FCGBP,ABCB7,CGA,HP,ACTL8,ADORA3,TRAPPC2L,AHCYL1
5,MRPS16,LGMN,ATP5IF1,IFI6,DEPTOR,IFIT1,LIPC,BHLHE40,RRM2,RPL13A,C1orf174,UBXN8,COL4A3BP,PTMS,OLFML3,CHCHD3,ITGB3BP,REN,SERPINA3,AUTS2,CTXND1,AGPAT5,RHBDL1,MRPL44,TYRP1,INSR,WDR12,AMFR,ACAT2,ADM2,FBLN5,ESRRA,OVOL2,CYP21A2,MAP3K1,SNCG,LHX1,TFAM,AIRE,TYR,ZNF195,MRPL19,NEFH,NOS2,HP,ADORA3,HERC5,EPM2AIP1,IRX5,C1orf56
6,ADI1,WASHC4,ABLIM1,PTP4A1,NDUFB1,ABHD2,ZNHIT1,NINL,SPI1,RGN,UCHL1,PLIN3,ACAD10,WASHC3,NUDT4,SERPINF1,BDKRB2,HMGCS2,PLEKHA5,CAMLG,WARS2,ABCD3,NPIPB15,OXCT1,OSBPL1A,NDUFA13,ATP6V0E2,COL4A3BP,HKDC1,NUBPL,PDK3,RPS27L,CYP2E1,ABCB7,CP,CYP46A1,ABCG2,AKR1B10,AGL,DNAJB1,GPX3,ADD3,SOX4,RPL38,BCCIP,TDP2,HP,MRPL19,RPA3,PTPN3
7,IFI6,ATP6V1F,BCCIP,CFB,GPX2,ABCC3,GPX3,UGDH,TTC1,KLF9,PPP6R1,METTL9,ALB,CPVL,CD163,SH3BP2,CGREF1,LHPP,SERPINA3,IGLV2-14,METTL1,MT2A,LIPG,SLC16A1,PDK3,ANKRD2,AHCYL1,TESC,MISP,OLFML3,TDP2,COL1A1,CASP8,ADI1,DENND1C,NR1D2,RHOBTB1,SPA17,LARP1,FGFR2,MMP25,ABCB4,ELF3,UBXN8,TYMP,CASP5,ESRRA,CP,LRP5,MZB1
8,IFI6,GPX3,DEPTOR,NDUFA13,IFIT1,TRIM14,CPVL,AHCYL1,LGMN,MS4A4A,ZNF195,ALB,CFB,VAMP8,ABLIM1,TFAM,TDP2,EGLN3,MAP3K1,MRPS16,HERC5,GEMIN6,UQCR10,TTC1,IFI44L,ATP6V1F,OLFML3,TYMP,ABCC3,KLF9,KLF6,ADORA3,FOS,PAX7,FST,MAB21L4,CD163,TFAP2A,LYPLA1,AUTS2,CYP21A2,MRPL19,TRIM2,DENND1C,CFLAR,RGS5,AMDHD2,ZNF593,IGLV2-14,NR1D2
