,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,RHOB,CEBPB,TIPARP,KLF6,DUSP6,PTP4A1,PCK1,JUNB,NR0B2,ABCB7,ADPRM,EEF1AKMT3,GDF15,GADD45B,DNAJB1,NPIPB15,DEFB1,CHGB,NDUFB1,STK32B
1,LHPP,CHP1,RPS27L,MEST,RPS24,RGS5,RPS4Y1,DNAJB1,LRRC23,UCHL1,GPC5,CYP2J2,AGL,CAMLG,TNMD,ACOX2,DZIP1,CTSG,ZNHIT1,AKR1C2
2,MEST,NDUFB5,TRA2A,ALDH3A2,ISCU,VDR,ACP6,MRPS15,CTTN,COX15,DAB2,CAMLG,CFLAR,PDE8A,TTC3,ACVR1B,VTCN1,METTL9,RHOBTB1,ACTA2
3,CHP1,RHOB,PCK1,ENPP2,ATP6V1F,FST,TESC,GEMIN6,ATP5IF1,KLF6,NDUFA2,HELZ,AMFR,MNX1,VAMP8,SLC3A2,UMOD,GCNT2,ECH1,LGMN
4,LYPLA1,WASHC3,RPL38,SERPINA1,ITGB3BP,LARP1,ACADVL,ACTL8,ACTA2,TRAPPC2L,NONO,IFI30,AHCYL1,AFP,TMEM100,GLB1L,SELENOT,CASP8,WARS2,ADA2
5,LIPC,ATP5IF1,ITGB3BP,PTMS,CDHR2,MRPS16,COMMD10,ADM2,ERBB3,RRM2,COL4A3BP,RPL37A,TRA2A,WASHC3,PAFAH1B3,EPM2AIP1,UBXN8,ACLY,OVOL2,C1orf56
6,ADI1,RGN,TSPAN6,BDKRB2,ABHD2,B4GALT5,ABCD3,MT1G,ATP6V0E2,WARS2,NDUFB1,UCHL1,AP5M1,LLGL2,ACAD10,NUDT4,PLIN3,PA2G4,THNSL2,SPI1
7,GPX2,BCCIP,CFB,NDUFB3,ATP6V1F,LDHB,ALOX5AP,UGDH,FRMD8,RHOBTB1,METTL9,PPP6R1,CGREF1,ELF3,MUC1,ANKRD2,HIRA,SLC16A1,SH3BP2,ABCC3
8,IFI6,IFIT1,DEPTOR,GPX3,IFI27,IFI44L,HERC5,OAS1,COX5B,TRIM14,NDUFA13,TTC1,IFIT2,MAB21L4,MRPS16,EGLN3,EIF2AK2,ANK2,REN,MRPL19
