,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,KLF6,LYPLA1,IFI6,RHOB,AHCYL1,PTP4A1,PCK1,GPX3,GDF15,ATP6V1F,NUDT4,ABCB7,CYP39A1,DUSP6,ADPRM,MT2A,DEPTOR,ALB,FOS,KLF9
1,LHPP,CHP1,RPS27L,AGL,CYP2J2,NDUFA13,CPVL,TDP2,RGS5,LGMN,CTSG,ZNHIT1,IFI6,MST1L,EGLN3,TUBB2B,MEST,GPC5,SLC3A2,ACKR1
2,TRA2A,MEST,ACTA2,VDR,EPM2AIP1,CFLAR,MRPS15,VTCN1,METTL9,NDUFA13,TUBA4B,COX15,ISCU,NEAT1,TFAP2A,FOS,CAMLG,ACVR1B,NDUFB5,ACP6
3,ATP6V1F,PCK1,SLC3A2,IFI6,LYPLA1,TYMP,FST,RPS24,CYP21A2,VAMP8,ABCB4,TESC,BHLHE40,WASHC4,PSPH,KLF9,EEF1AKMT3,BCCIP,UQCR10,WASHC3
4,LYPLA1,WASHC3,CPVL,WDR12,RPL38,FKBP4,ABLIM3,MST1L,WARS2,ITGB3BP,PPP6R1,COX15,TMEM100,LARP1,IGHV3-23,TARS2,PEG10,UCHL1,NUDT4,GLB1L
5,MRPS16,LGMN,ATP5IF1,IFI6,DEPTOR,LIPC,IFIT1,BHLHE40,RRM2,RPL13A,C1orf174,UBXN8,COL4A3BP,PTMS,OLFML3,CHCHD3,ITGB3BP,SERPINA3,REN,AUTS2
6,ADI1,WASHC4,ABLIM1,PTP4A1,NDUFB1,ABHD2,ZNHIT1,NINL,SPI1,RGN,PLIN3,UCHL1,ACAD10,WASHC3,NUDT4,SERPINF1,BDKRB2,HMGCS2,PLEKHA5,CAMLG
7,IFI6,ATP6V1F,CFB,BCCIP,GPX2,ABCC3,GPX3,UGDH,TTC1,KLF9,PPP6R1,METTL9,ALB,CPVL,CD163,SH3BP2,CGREF1,SERPINA3,LHPP,IGLV2-14
8,IFI6,GPX3,DEPTOR,NDUFA13,IFIT1,TRIM14,LGMN,AHCYL1,CPVL,MS4A4A,ZNF195,ALB,CFB,VAMP8,ABLIM1,TFAM,TDP2,EGLN3,MAP3K1,MRPS16
