,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,KLF6,RHOB,PCK1,IFI6,LYPLA1,GDF15,AHCYL1,PTP4A1,CHCHD3,GPX3,EEF1AKMT3,CYP39A1,NUDT4,TMEM100,MT2A,FOS,ABCB7,DUSP6,NR0B2,ATP6V1F
1,CHP1,LHPP,MEST,NDUFA13,AGL,RGS5,IFI6,CTSG,LGMN,RPS27L,CHODL,CRABP2,CYP2J2,CPVL,SLC3A2,HIRA,ZNHIT1,IFIT1,BTG1,TDP2
2,METTL9,TRA2A,EPM2AIP1,MEST,ACTA2,VTCN1,CFLAR,NDUFA13,VDR,NEAT1,MRPS15,TFAP2A,ACP6,COX15,TUBA4B,CTTN,NR1D2,TTC1,CAMLG,ISCU
3,KLF6,TESC,SLC3A2,LYPLA1,VAMP8,ATP6V1F,PCK1,RPS24,ENPP2,ATP5IF1,FST,GEMIN6,IFI6,BHLHE40,KLF9,MRPL44,UQCR10,TRIM14,AKR1C2,TYMP
4,WDR12,WASHC3,LYPLA1,ECH1,RPL38,EMX1,ITGB3BP,COX15,FKBP4,CPVL,PEG10,IGHV3-23,VAMP8,ACE,AFP,ACAD10,ACTL8,NONO,PPP6R1,TMEM100
5,DEPTOR,LGMN,MRPS16,IFI6,ATP5IF1,LIPC,OLFML3,CHCHD3,IFIT1,BHLHE40,SERPINA3,RRM2,PTMS,COL4A3BP,ITGB3BP,EPM2AIP1,ACLY,ADM2,ACAT2,COMMD10
6,ADI1,NDUFB1,ABHD2,PTP4A1,RGN,ACAD10,ABCD3,WASHC4,WARS2,ABLIM1,UCHL1,PTPN3,SPI1,PLEKHA5,OXCT1,NUDT4,BDKRB2,RHOBTB1,ZNHIT1,NPIPB15
7,GPX2,IFI6,ATP6V1F,BCCIP,ADI1,ABCC3,UGDH,CFB,PDK3,LHPP,CGREF1,PPP6R1,ANKRD2,TTC1,CPVL,KLF9,SERPINA3,RHOBTB1,MISP,SH3BP2
8,IFI6,IFIT1,GPX3,DEPTOR,TRIM14,MS4A4A,NDUFA13,IFI44L,CPVL,CFB,MAP3K1,ABLIM1,OLFML3,AHCYL1,LGMN,EGLN3,TDP2,MRPL19,HERC5,ALB
